source_pool	source_reference	source_sequences	generated_sequences	feature	source_min	source_mean	source_sd_population	source_q01	source_q05	source_median	source_q95	source_q99	source_max	generated_min	generated_mean	generated_sd_population	generated_q01	generated_q05	generated_median	generated_q95	generated_q99	generated_max	generated_within_source_minmax_fraction	generated_within_source_q01_q99_fraction	generated_minus_source_standardized_mean_difference	two_sample_ks_statistic	two_sample_ks_p_value_descriptive_only	wasserstein_distance_source_units	p5_standardized_coefficient	p5_active_feature
GCall	codec_eligible_training_subset	2521	64646	base_freq_A	0.111111111111	0.2488393788473094	0.034837030785699906	0.1685185185188	0.194444444444	0.25	0.305555555556	0.324074074074	0.351851851852	0.1111111111111111	0.24976825354265567	0.034734349385488375	0.16666666666666666	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.3888888888888889	0.9991337437737834	0.9655199084243418	0.02670275280920571	0.11305677054873142	1.8187900405937746e-27	0.0010285607531134197	-0.00022144082664296097	True
GCall	codec_eligible_training_subset	2521	64646	base_freq_C	0.138888888889	0.2500073457034962	0.03354073394565776	0.175925925926	0.194444444444	0.25	0.305555555556	0.333333333333	0.361111111111	0.1111111111111111	0.25006946664512486	0.03465885639532289	0.17592592592592593	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.4074074074074074	0.9980663923521951	0.9679794573523497	0.0018214946517000066	0.11011210316219727	4.498001489308554e-26	0.0010282343518821842	0.0004291487912338504	True
GCall	codec_eligible_training_subset	2521	64646	base_freq_G	0.138888888889	0.25082271879178303	0.03402998449653675	0.175925925926	0.194444444444	0.25	0.305555555556	0.324074074074	0.361111111111	0.1111111111111111	0.2501211727459291	0.03468745819901247	0.16666666666666666	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.3888888888888889	0.9981746743804721	0.9562695294372429	-0.020417347034434583	0.11273851453010814	2.583170386459773e-27	0.0010198384261865924	0.00021297516257181903	True
GCall	codec_eligible_training_subset	2521	64646	base_freq_T	0.157407407407	0.25033055665741455	0.035196562898408945	0.175925925926	0.194444444444	0.25	0.305555555556	0.333333333333	0.398148148148	0.1111111111111111	0.2500411070662904	0.03475527072398015	0.16666666666666666	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.39814814814814814	0.9979426414627355	0.966509915540018	-0.008275518071304928	0.10591561772427399	3.752908057554757e-24	0.0009748315897111779	-0.0004225841845502804	True
GCall	codec_eligible_training_subset	2521	64646	full_amplicon_candidate_pairs	73.0	109.48750495834986	15.475100041793773	81.0	88.0	108.0	138.0	154.0	229.0	68.0	109.24258268106303	15.357701099196037	81.0	88.0	107.0	137.0	153.0	259.0	0.9997060916375337	0.9832162856170529	-0.01588700947201336	0.01014773860773599	0.9618939284835464	0.3363689935396842	0.012823497271377845	True
GCall	codec_eligible_training_subset	2521	64646	full_amplicon_longest_stem	13.0	13.339547798492662	0.6810598771936279	13.0	13.0	13.0	15.0	16.0	21.0	13.0	13.327197351730966	0.65935894988722	13.0	13.0	13.0	15.0	16.0	22.0	0.9999845311388176	0.9965349750951334	-0.018425328371243638	0.006001102050513296	0.9999915792095082	0.012381384484060898	0.008503207188755682	True
GCall	codec_eligible_training_subset	2521	64646	full_amplicon_weighted_pairs	459.0	639.349464498215	98.46366670986026	493.2	522.0	621.0	816.0	970.6000000000013	1904.0	437.0	637.3452495127309	96.05575544866794	493.0	521.0	619.0	815.0	954.5500000000029	2205.0	0.9995514030257092	0.9816229929152616	-0.02060525806621604	0.019582737624687097	0.30599690189267836	2.4030072705610968	-0.019399596972747336	True
GCall	codec_eligible_training_subset	2521	64646	gc_deviation_from_0p5	0.0	0.023138966018770458	0.014284807910840497	0.0	0.0	0.0185185185185	0.0462962962963	0.0462962962963	0.0462962962963	0.0	0.022658873798155434	0.014444466819215105	0.0	0.0	0.018518518518518545	0.04629629629629628	0.04629629629629628	0.04629629629629628	1.0	1.0	-0.033421296684643206	0.22605143862065719	2.0475592142797405e-109	0.0005253195554897059	-2.062772026790539e-05	True
GCall	codec_eligible_training_subset	2521	64646	left_boundary_vs_left_adapter_complement_4mers	0.0	1.5259817532725108	1.601336732757406	0.0	0.0	1.0	5.0	7.0	10.0	0.0	1.4662778826222813	1.497494456748471	0.0	0.0	1.0	4.0	6.0	16.0	0.9999381245552702	0.9976177953779043	-0.038511537791161295	0.017129889210924065	0.4697580452838789	0.07471228623840909	-0.0006477006012111923	True
GCall	codec_eligible_training_subset	2521	64646	left_boundary_vs_left_adapter_max_rc_tract	2.0	4.00476001586672	0.9922234076467406	2.1999999999999993	3.0	4.0	6.0	7.0	10.0	2.0	3.974136064102961	0.919532293584134	3.0	3.0	4.0	6.0	7.0	15.0	0.9999535934164527	0.9874238158586764	-0.03201438153705482	0.015114427295696009	0.6308612185307594	0.047201465797623715	-0.0007691293132080693	True
