dataset	analysis	pool_or_direction	endpoint	model	repeat	fold	feature	standardized_coefficient	selected_regularization
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	0	gc_deviation_from_0p5	-0.01713240793252834	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	0	longest_stem	0.0012833594038463298	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	0	max_homopolymer	0.0073140689254247776	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	0	weighted_pairs	-0.010761019219112072	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	1	candidate_pairs	-0.014890386112707465	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	1	gc_deviation_from_0p5	-0.020444021453180753	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	1	longest_stem	0.0058239900215779775	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	1	max_homopolymer	0.003442966607594018	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	1	weighted_pairs	-0.012150317607361107	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	2	candidate_pairs	-0.0071660538934896515	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	2	gc_deviation_from_0p5	-0.017830698135078517	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	2	longest_stem	-0.002980847461200284	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	2	max_homopolymer	0.005918241954054524	1000.0
